2026-02-23T12:06:13.148456|800019|192.168.80.90|BONIFICO|69||
2026-02-23T12:06:16.149531|800019|192.168.80.90|BONIFICO|42||
2026-02-23T12:06:19.151901|800019|192.168.80.90|DEPOSITO|81||
2026-02-23T12:06:22.155548|800019|192.168.80.90|BONIFICO|36||
2026-02-23T12:06:25.159004|800019|192.168.80.90|DEPOSITO|24||
2026-02-23T12:06:28.161513|800019|192.168.80.90|PRELIEVO|25||
2026-02-23T12:06:31.163317|800019|192.168.80.90|DEPOSITO|94||
2026-02-23T12:06:34.165198|800019|192.168.80.90|BONIFICO|36||
2026-02-23T13:35:32.743383|test|127.0.0.1|LOGIN|||
2026-02-23T13:35:32.743613|test|127.0.0.1|LOGIN|||
2026-02-23T13:35:32.744199|test|127.0.0.1|LOGIN|||
2026-02-23T13:35:32.791633|800097|192.168.97.216|PRELIEVO|4605||
2026-02-23T13:35:36.852899|800034|10.197.231.204|BONIFICO|4496||
2026-02-23T13:35:37.889247|800015|192.168.214.118|PRELIEVO|3991||
2026-02-23T13:35:38.950824|800052|192.168.86.251|BONIFICO|4187||
2026-02-23T13:35:40.012947|800094|192.168.100.99|BONIFICO|3865||
2026-02-23T13:35:44.053950|800058|172.30.208.189|LOGIN|||
2026-02-23T13:35:47.090928|800077|10.34.0.146|LOGIN|||
2026-02-23T13:35:49.130680|800085|172.25.212.73|LOGIN|||
2026-02-23T13:35:52.168458|800050|172.30.142.182|PRELIEVO|591||
2026-02-23T13:35:53.231637|800018|10.228.34.64|BONIFICO|298||
2026-02-23T13:35:55.267730|800046|192.168.235.241|PRELIEVO|196||
2026-02-23T13:35:58.304567|800090|10.151.103.86|PRELIEVO|1416||
2026-02-23T13:36:00.344000|800090|172.31.172.142|LOGIN|||
2026-02-23T13:36:01.405482|800002|10.236.77.193|BONIFICO|2972||
2026-02-23T13:36:05.468277|800009|172.30.148.69|BONIFICO|4686||
2026-02-23T13:36:07.505830|800057|172.24.144.193|PRELIEVO|949||
2026-02-23T13:36:08.546808|800062|192.168.117.69|PRELIEVO|1128||
2026-02-23T13:36:09.608694|800018|192.168.136.64|BONIFICO|1472||
2026-02-23T13:36:10.646719|800065|192.168.18.216|PRELIEVO|5004||
2026-02-23T13:36:12.685457|800079|10.227.94.167|PRELIEVO|112||
2026-02-23T13:36:16.735953|800009|172.26.210.51|LOGIN|||
2026-02-23T13:36:19.808290|800064|192.168.74.31|BONIFICO|4001||
2026-02-23T13:36:20.844621|800087|192.168.78.254|PRELIEVO|2680||
2026-02-23T13:36:24.882063|800074|172.16.97.149|LOGIN|||
2026-02-23T13:36:25.921363|800091|172.30.168.136|LOGIN|||
2026-02-23T13:36:27.983070|800000|10.194.152.17|BONIFICO|1171||
2026-02-23T13:36:32.022393|800048|10.185.50.142|PRELIEVO|2246||
2026-02-23T13:36:33.084773|800041|10.126.61.145|BONIFICO|3496||
2026-02-23T13:36:34.161747|800086|192.168.114.65|BONIFICO|4656||
2026-02-23T13:36:37.222448|800021|10.77.139.197|BONIFICO|2730||
2026-02-23T13:36:40.260265|800002|192.168.135.29|PRELIEVO|4391||
2026-02-23T13:36:42.296782|800083|10.61.41.218|LOGIN|||
2026-02-23T13:36:46.338654|800027|172.20.151.156|LOGIN|||
2026-02-23T13:36:48.375533|800055|10.252.184.17|LOGIN|||
2026-02-23T13:36:50.440660|800044|10.0.169.165|BONIFICO|3283||
2026-02-23T13:36:51.477248|800012|172.16.204.130|PRELIEVO|4126||
2026-02-23T13:36:54.514359|800099|172.30.190.162|LOGIN|||
2026-02-23T13:36:56.575515|800079|172.16.188.29|BONIFICO|90||
2026-02-23T13:37:00.628540|800097|10.138.243.250|PRELIEVO|2921||
2026-02-23T13:37:03.666783|800003|10.254.64.165|PRELIEVO|2560||
2026-02-23T13:37:07.704445|800093|10.161.56.12|PRELIEVO|54||
2026-02-23T13:37:11.744218|800013|10.171.89.65|PRELIEVO|675||
2026-02-23T13:37:15.809336|800029|10.167.103.100|BONIFICO|4190||
2026-02-23T13:37:19.870757|800055|10.115.64.237|BONIFICO|3307||
2026-02-23T13:37:20.908159|800012|172.23.237.5|LOGIN|||
2026-02-23T13:37:21.946033|800054|172.22.13.45|LOGIN|||
2026-02-23T13:37:25.983549|800065|192.168.250.173|LOGIN|||
2026-02-23T13:37:27.022610|800069|172.24.149.254|PRELIEVO|4069||
2026-02-23T13:37:31.062926|800021|172.19.111.47|LOGIN|||
2026-02-23T13:37:32.124725|800080|10.238.128.235|BONIFICO|3249||
